n,basis,trace_sum,rate,ci_lower,ci_upper,trials
8,Phase,0.6263804221861079,1.0,0.996173241514445,1.0,1000
8,Phase,0.6342536147907386,1.0,0.996173241514445,1.0,1000
8,Phase,0.6421268073953693,1.0,0.996173241514445,1.0,1000
8,Phase,0.65,1.0,0.996173241514445,1.0,1000
8,Walsh,0.264213562373095,1.0,0.996173241514445,1.0,1000
8,Walsh,0.2720867549777257,1.0,0.996173241514445,1.0,1000
8,Walsh,0.2799599475823564,1.0,0.996173241514445,1.0,1000
8,Walsh,0.28783314018698714,1.0,0.996173241514445,1.0,1000
8,Walsh,0.29570633279161784,1.0,0.996173241514445,1.0,1000
8,Walsh,0.3035795253962486,1.0,0.996173241514445,1.0,1000
8,Walsh,0.3114527180008793,1.0,0.996173241514445,1.0,1000
8,Walsh,0.31932591060551,1.0,0.996173241514445,1.0,1000
8,Walsh,0.32719910321014073,1.0,0.996173241514445,1.0,1000
8,Walsh,0.33507229581477144,1.0,0.996173241514445,1.0,1000
8,Walsh,0.34294548841940214,1.0,0.996173241514445,1.0,1000
8,Walsh,0.3508186810240329,1.0,0.996173241514445,1.0,1000
8,Walsh,0.3586918736286636,1.0,0.996173241514445,1.0,1000
8,Walsh,0.3665650662332943,1.0,0.996173241514445,1.0,1000
8,Walsh,0.37443825883792503,1.0,0.996173241514445,1.0,1000
8,Walsh,0.38231145144255574,1.0,0.996173241514445,1.0,1000
8,Walsh,0.39018464404718645,1.0,0.996173241514445,1.0,1000
8,Walsh,0.39805783665181715,1.0,0.996173241514445,1.0,1000
8,Walsh,0.40593102925644786,1.0,0.996173241514445,1.0,1000
8,Walsh,0.41380422186107857,1.0,0.996173241514445,1.0,1000
8,Walsh,0.4216774144657093,1.0,0.996173241514445,1.0,1000
8,Walsh,0.42955060707034,1.0,0.996173241514445,1.0,1000
8,Walsh,0.43742379967497075,1.0,0.996173241514445,1.0,1000
8,Walsh,0.44529699227960146,1.0,0.996173241514445,1.0,1000
8,Walsh,0.45317018488423216,1.0,0.996173241514445,1.0,1000
8,Walsh,0.46104337748886287,1.0,0.996173241514445,1.0,1000
8,Walsh,0.4689165700934936,1.0,0.996173241514445,1.0,1000
8,Walsh,0.47678976269812434,1.0,0.996173241514445,1.0,1000
8,Walsh,0.48466295530275505,1.0,0.996173241514445,1.0,1000
8,Walsh,0.49253614790738576,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5004093405120165,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5082825331166472,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5161557257212779,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5240289183259086,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5319021109305393,1.0,0.996173241514445,1.0,1000
8,Walsh,0.53977530353517,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5476484961398007,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5555216887444314,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5633948813490621,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5712680739536928,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5791412665583235,1.0,0.996173241514445,1.0,1000
8,Walsh,0.5870144591629542,1.0,0.996173241514445,1.0,1000
8,Walsh,0.594887651767585,1.0,0.996173241514445,1.0,1000
8,Walsh,0.6027608443722157,1.0,0.996173241514445,1.0,1000
8,Walsh,0.6106340369768465,1.0,0.996173241514445,1.0,1000
8,Walsh,0.6185072295814772,1.0,0.996173241514445,1.0,1000
8,Walsh,0.6263804221861079,1.0,0.996173241514445,1.0,1000
8,Walsh,0.6342536147907386,1.0,0.996173241514445,1.0,1000
8,Walsh,0.6421268073953693,1.0,0.996173241514445,1.0,1000
8,Walsh,0.65,1.0,0.996173241514445,1.0,1000
8,Paley,0.264213562373095,1.0,0.996173241514445,1.0,1000
8,Paley,0.2720867549777257,1.0,0.996173241514445,1.0,1000
8,Paley,0.2799599475823564,1.0,0.996173241514445,1.0,1000
8,Paley,0.28783314018698714,1.0,0.996173241514445,1.0,1000
8,Paley,0.29570633279161784,1.0,0.996173241514445,1.0,1000
8,Paley,0.3035795253962486,1.0,0.996173241514445,1.0,1000
8,Paley,0.3114527180008793,1.0,0.996173241514445,1.0,1000
8,Paley,0.31932591060551,1.0,0.996173241514445,1.0,1000
8,Paley,0.32719910321014073,1.0,0.996173241514445,1.0,1000
8,Paley,0.33507229581477144,1.0,0.996173241514445,1.0,1000
8,Paley,0.34294548841940214,1.0,0.996173241514445,1.0,1000
8,Paley,0.3508186810240329,1.0,0.996173241514445,1.0,1000
8,Paley,0.3586918736286636,1.0,0.996173241514445,1.0,1000
8,Paley,0.3665650662332943,1.0,0.996173241514445,1.0,1000
8,Paley,0.37443825883792503,1.0,0.996173241514445,1.0,1000
8,Paley,0.38231145144255574,1.0,0.996173241514445,1.0,1000
8,Paley,0.39018464404718645,1.0,0.996173241514445,1.0,1000
8,Paley,0.39805783665181715,1.0,0.996173241514445,1.0,1000
8,Paley,0.40593102925644786,1.0,0.996173241514445,1.0,1000
8,Paley,0.41380422186107857,1.0,0.996173241514445,1.0,1000
8,Paley,0.4216774144657093,1.0,0.996173241514445,1.0,1000
8,Paley,0.42955060707034,1.0,0.996173241514445,1.0,1000
8,Paley,0.43742379967497075,1.0,0.996173241514445,1.0,1000
8,Paley,0.44529699227960146,1.0,0.996173241514445,1.0,1000
8,Paley,0.45317018488423216,1.0,0.996173241514445,1.0,1000
8,Paley,0.46104337748886287,1.0,0.996173241514445,1.0,1000
8,Paley,0.4689165700934936,1.0,0.996173241514445,1.0,1000
8,Paley,0.47678976269812434,1.0,0.996173241514445,1.0,1000
8,Paley,0.48466295530275505,1.0,0.996173241514445,1.0,1000
8,Paley,0.49253614790738576,1.0,0.996173241514445,1.0,1000
8,Paley,0.5004093405120165,1.0,0.996173241514445,1.0,1000
8,Paley,0.5082825331166472,1.0,0.996173241514445,1.0,1000
8,Paley,0.5161557257212779,1.0,0.996173241514445,1.0,1000
8,Paley,0.5240289183259086,1.0,0.996173241514445,1.0,1000
8,Paley,0.5319021109305393,1.0,0.996173241514445,1.0,1000
8,Paley,0.53977530353517,1.0,0.996173241514445,1.0,1000
8,Paley,0.5476484961398007,1.0,0.996173241514445,1.0,1000
